question_id,student_id,test_no,subject,topic,difficulty,is_correct,mistake_type,time_taken_sec,expected_time_sec
1,1,1,Mathematics,Algebra,easy,0,calculation,75.3,60
2,1,1,Mathematics,Algebra,medium,0,conceptual,102.7,100
3,1,1,Mathematics,Algebra,medium,1,none,88.1,100
4,1,1,Mathematics,Algebra,medium,0,calculation,98.4,100
5,1,1,Mathematics,Algebra,easy,0,calculation,55.7,60
6,1,1,Mathematics,Algebra,medium,1,none,111.4,100
7,1,1,Mathematics,Algebra,medium,0,conceptual,116.9,100
8,1,1,Mathematics,Algebra,hard,0,calculation,122.6,150
9,1,1,Mathematics,Geometry,medium,0,conceptual,88.4,100
10,1,1,Mathematics,Geometry,easy,0,calculation,58.5,60
11,1,1,Mathematics,Geometry,easy,1,none,63.0,60
12,1,1,Mathematics,Geometry,medium,1,none,107.2,100
13,1,1,Mathematics,Geometry,hard,1,none,149.3,150
14,1,1,Mathematics,Geometry,easy,1,none,72.3,60
15,1,1,Mathematics,Geometry,easy,1,none,58.2,60
16,1,1,Mathematics,Geometry,medium,1,none,101.8,100
17,1,1,Mathematics,Trigonometry,easy,1,none,34.7,60
18,1,1,Mathematics,Trigonometry,easy,1,none,65.2,60
19,1,1,Mathematics,Trigonometry,medium,1,none,99.1,100
20,1,1,Mathematics,Trigonometry,medium,0,calculation,59.7,100
21,1,1,Mathematics,Trigonometry,medium,1,none,78.5,100
22,1,1,Mathematics,Trigonometry,easy,0,conceptual,47.5,60
23,1,1,Mathematics,Trigonometry,medium,0,silly,39.0,100
24,1,1,Mathematics,Trigonometry,medium,1,none,105.1,100
25,1,1,Mathematics,Calculus,easy,0,calculation,79.9,60
26,1,1,Mathematics,Calculus,medium,1,none,144.9,100
27,1,1,Mathematics,Calculus,easy,0,silly,64.3,60
28,1,1,Mathematics,Calculus,hard,0,silly,175.9,150
29,1,1,Mathematics,Calculus,easy,1,none,62.6,60
30,1,1,Mathematics,Calculus,medium,1,none,130.3,100
31,1,1,Mathematics,Calculus,medium,0,calculation,80.3,100
32,1,1,Mathematics,Calculus,medium,0,calculation,137.0,100
33,1,1,Mathematics,Probability & Statistics,medium,1,none,123.1,100
34,1,1,Mathematics,Probability & Statistics,easy,1,none,79.2,60
35,1,1,Mathematics,Probability & Statistics,easy,1,none,53.5,60
36,1,1,Mathematics,Probability & Statistics,easy,0,conceptual,80.4,60
37,1,1,Mathematics,Probability & Statistics,medium,1,none,106.3,100
38,1,1,Mathematics,Probability & Statistics,medium,1,none,95.8,100
39,1,1,Mathematics,Probability & Statistics,easy,1,none,70.3,60
40,1,1,Mathematics,Probability & Statistics,easy,1,none,61.1,60
41,1,1,Mathematics,Number Theory,medium,0,calculation,110.0,100
42,1,1,Mathematics,Number Theory,hard,0,silly,132.3,150
43,1,1,Mathematics,Number Theory,easy,0,calculation,63.0,60
44,1,1,Mathematics,Number Theory,easy,0,silly,90.9,60
45,1,1,Mathematics,Number Theory,medium,0,conceptual,167.1,100
46,1,1,Mathematics,Number Theory,easy,0,silly,80.5,60
47,1,1,Mathematics,Number Theory,easy,0,calculation,84.0,60
48,1,1,Mathematics,Number Theory,easy,1,none,67.3,60
49,1,2,Mathematics,Algebra,easy,0,conceptual,49.8,60
50,1,2,Mathematics,Algebra,easy,1,none,77.9,60
51,1,2,Mathematics,Algebra,easy,1,none,61.7,60
52,1,2,Mathematics,Algebra,easy,1,none,68.0,60
53,1,2,Mathematics,Algebra,medium,1,none,116.3,100
54,1,2,Mathematics,Algebra,medium,0,conceptual,121.5,100
55,1,2,Mathematics,Algebra,medium,0,calculation,154.1,100
56,1,2,Mathematics,Algebra,medium,1,none,114.5,100
57,1,2,Mathematics,Geometry,easy,1,none,57.3,60
58,1,2,Mathematics,Geometry,hard,1,none,191.5,150
59,1,2,Mathematics,Geometry,hard,1,none,142.0,150
60,1,2,Mathematics,Geometry,easy,1,none,57.4,60
61,1,2,Mathematics,Geometry,medium,1,none,80.9,100
62,1,2,Mathematics,Geometry,easy,1,none,65.2,60
63,1,2,Mathematics,Geometry,medium,1,none,123.2,100
64,1,2,Mathematics,Geometry,easy,1,none,56.4,60
65,1,2,Mathematics,Trigonometry,hard,0,calculation,149.3,150
66,1,2,Mathematics,Trigonometry,medium,1,none,86.7,100
67,1,2,Mathematics,Trigonometry,hard,1,none,171.9,150
68,1,2,Mathematics,Trigonometry,medium,1,none,115.2,100
69,1,2,Mathematics,Trigonometry,medium,1,none,111.6,100
70,1,2,Mathematics,Trigonometry,easy,1,none,35.1,60
71,1,2,Mathematics,Trigonometry,medium,1,none,89.7,100
72,1,2,Mathematics,Trigonometry,medium,1,none,83.1,100
73,1,2,Mathematics,Calculus,easy,0,conceptual,70.7,60
74,1,2,Mathematics,Calculus,easy,1,none,65.3,60
75,1,2,Mathematics,Calculus,easy,1,none,62.8,60
76,1,2,Mathematics,Calculus,medium,0,conceptual,122.5,100
77,1,2,Mathematics,Calculus,medium,0,conceptual,91.2,100
78,1,2,Mathematics,Calculus,hard,0,conceptual,211.5,150
79,1,2,Mathematics,Calculus,medium,0,silly,107.4,100
80,1,2,Mathematics,Calculus,easy,1,none,82.1,60
81,1,2,Mathematics,Probability & Statistics,medium,1,none,129.1,100
82,1,2,Mathematics,Probability & Statistics,hard,1,none,118.6,150
83,1,2,Mathematics,Probability & Statistics,easy,1,none,51.3,60
84,1,2,Mathematics,Probability & Statistics,hard,1,none,147.9,150
85,1,2,Mathematics,Probability & Statistics,easy,1,none,59.8,60
86,1,2,Mathematics,Probability & Statistics,easy,1,none,94.3,60
